dest_ip,dest_port
49.156.44.116,8080
157.175.196.63,4352
150.107.140.238,3128
13.232.2.142,46864
103.153.62.89,8080
103.115.243.41,6212
103.189.254.2,2222
200.115.96.50,999
38.188.247.12,999
72.10.164.178,2243
43.102.204.48,36029
190.97.239.24,999
165.225.72.151,11423
54.199.199.66,37759
103.106.112.166,1234
165.225.72.38,10601
43.225.185.4,8000
13.212.76.113,10084
103.152.238.93,1080
46.161.6.165,8080
43.210.30.230,8297
165.225.72.151,10084
103.154.152.104,2020
52.47.164.226,8228
165.225.72.151,11753
103.250.70.190,9107
54.199.199.66,4595
3.38.101.138,33866
35.181.173.74,9593
165.225.72.151,11561
200.174.198.32,8888
128.140.76.145,14627
3.35.25.117,9036
13.61.155.35,8199
157.175.196.63,501
20.223.127.248,3128
13.232.2.142,19800
40.176.96.235,20867
200.188.112.142,999
118.179.93.246,19201
43.206.234.160,8744
144.125.164.158,8081
62.133.63.236,1111
38.188.48.73,8080
128.140.76.145,27391
8.243.68.11,8080
3.38.101.138,2873
68.235.35.171,3128
160.22.65.16,202
51.48.124.225,46922
43.198.99.209,22283
203.115.123.163,1452
195.158.8.123,3128
45.4.202.170,999
45.65.137.218,999
16.78.105.11,7873
202.4.125.221,1130
51.95.69.4,33386
128.140.76.145,17612
51.20.184.59,80
43.102.204.46,36789
36.88.137.114,8080
43.208.16.9,761
50.17.40.179,8297
13.115.193.75,423
165.225.72.151,11431
13.61.18.44,9998
190.131.254.85,999
165.225.72.38,10229
18.60.222.217,9992
52.188.28.218,3128
202.154.18.12,8080
72.10.164.178,17223
43.208.129.50,734
103.154.230.94,8090
103.192.158.115,46
177.234.194.30,999
115.114.77.133,9090
163.223.78.181,9090
56.124.106.170,937
38.49.152.103,8080
165.225.72.151,10861
181.209.75.124,8080
72.10.164.178,19975
67.43.236.18,29771
157.175.196.122,12004
103.160.182.125,8080
15.168.235.57,741
165.225.72.151,10890
45.7.13.162,8080
3.110.127.255,44485
15.236.38.248,32187
103.122.64.169,8181
103.193.145.137,8080
13.212.81.49,9443
78.12.230.52,9031
51.92.196.114,18536
103.180.123.103,8090
165.225.72.38,10608
3.35.25.117,9200
34.216.224.9,15201
43.208.25.125,12693
72.10.160.171,12699
43.102.204.48,36839
103.204.208.211,8080
72.10.160.173,9813
161.49.210.196,10101
16.78.105.11,21857
187.86.59.122,80
78.12.223.246,8775
179.189.125.222,8080
8.243.197.202,999
43.198.99.209,9159
202.140.62.212,8080
35.180.127.14,9081
45.172.1.4,800
160.119.228.146,12354
170.0.11.11,8080
102.23.237.121,8080
35.152.239.124,14871
120.28.192.179,5050
165.225.72.151,33333
43.208.16.199,46093
15.160.134.84,21048
47.81.14.7,3128
18.163.3.251,650
40.192.14.136,344
78.12.223.246,9107
35.152.252.253,8080
18.143.167.190,9990
15.160.148.69,13128
18.202.158.161,80
128.140.76.145,14455
200.48.35.123,999
85.214.190.195,3128
16.78.41.33,9903
144.125.164.222,8081
16.78.47.161,9979
186.96.111.214,999
115.127.179.42,2026
67.43.236.20,22931
177.234.217.235,999
164.163.40.16,10000
20.80.217.164,3128
72.10.160.174,8601
67.43.228.253,10145
212.227.231.183,8080
103.30.30.109,8585
165.225.72.151,11867
43.208.240.77,22749
200.59.191.232,999
16.78.41.33,26501
78.12.223.246,16921
190.60.36.83,999
13.232.2.142,8784
202.154.18.80,8082
103.171.83.95,8080
16.78.104.244,34654
16.78.82.73,44562
189.148.9.181,8080
51.17.184.165,27836
103.154.230.86,8090
67.43.236.20,9739
13.218.86.1,8121
128.140.76.145,17976
43.217.158.81,4958
36.92.106.41,8080
221.147.183.208,3128
192.71.213.85,9812
62.60.131.26,8888
45.70.236.194,999
38.188.186.47,999
18.188.193.233,9000
120.89.91.222,8181
18.179.12.21,8744
40.192.14.136,8961
51.17.184.165,213
43.198.99.209,21225
13.212.14.16,10443
159.223.32.95,8080
200.59.191.234,999
4.145.96.50,3128
202.5.33.129,21225
67.43.236.19,11271
3.110.127.255,13427
13.212.14.16,1102
165.225.72.151,11385
16.78.105.11,8005
165.225.72.38,11031
51.16.56.189,49337
157.175.147.228,14668
13.229.61.19,3128
103.187.86.14,8085
185.225.41.129,8080
51.84.65.10,8090
43.208.25.125,33672
128.140.76.145,16894
170.0.228.250,999
162.240.154.26,3128
51.17.184.165,9090
51.48.124.225,21169
165.225.72.151,11967
185.154.8.1,56789
45.173.12.141,1994
43.224.118.206,1120
34.216.224.9,30039
54.74.104.194,2507
45.166.93.113,999
16.78.47.161,28
45.80.69.102,3128
202.5.36.149,21225
43.198.99.209,9986
47.251.57.165,1080
67.43.236.18,17457
201.182.150.184,999
173.212.246.157,3128
103.168.44.210,8088
103.132.41.192,8080
34.236.148.220,10049
206.189.88.243,8080
94.182.146.250,8080
165.225.72.38,10057
165.225.72.38,10001
140.238.197.4,3128
71.168.71.12,8889
43.217.141.124,39642
43.209.8.12,4303
50.17.40.179,489
200.24.130.147,999
3.110.127.255,4840
161.35.181.96,999
44.251.173.250,46933
157.66.192.115,8080
157.175.43.137,5577
108.137.1.116,9818
13.60.209.160,10814
13.232.2.142,1121
18.143.173.102,53008
45.177.178.17,999
103.70.44.6,8080
3.35.25.117,470
72.10.160.94,15849
165.225.72.151,11066
43.198.248.18,22107
49.147.70.206,8082
35.180.127.14,69
54.90.159.174,3904
157.175.196.122,7413
45.225.207.183,999
18.226.170.181,971
52.233.203.63,3128
13.229.106.200,8880
16.78.47.161,5065
35.152.252.253,4580
82.26.150.55,1080
72.10.164.178,4095
103.155.199.68,7777
157.175.147.228,3845
13.229.106.200,3908
13.212.186.221,3128
67.43.236.20,12743
43.217.141.124,18543
128.140.76.145,24527
208.87.243.199,7878
168.138.202.218,3128
141.136.63.126,8080
200.24.130.150,999
18.183.141.82,1121
3.35.25.117,333
165.225.72.38,11376
72.10.160.174,29809
128.140.76.145,29589
43.204.25.18,9765
115.127.178.30,2026
197.218.16.16,3128
13.212.81.49,9483
35.181.173.74,9408
190.12.150.244,999
103.163.80.108,8080
200.26.187.158,999
43.198.248.18,9386
43.225.151.137,1121
20.27.219.85,8080
165.225.72.151,9480
18.163.49.218,8065
43.209.8.12,21829
13.218.86.1,23718
3.110.127.255,49621
3.35.25.117,5671
18.163.49.218,2002
103.171.31.77,8080
202.5.58.29,1121
165.225.72.151,11830
35.180.127.14,9933
103.224.65.89,8080
43.224.116.22,1120
115.127.179.214,2026
128.140.76.145,22921
54.154.27.41,9760
190.111.218.139,999
3.35.25.117,5020
200.59.186.176,999
103.230.62.102,1120
13.229.106.200,519
103.245.109.70,21458
43.206.234.160,207
165.225.72.151,11560
200.114.81.219,8080
43.209.8.12,37723
103.102.12.129,1452
217.76.55.8,8888
165.225.72.38,10923
51.84.65.10,29972
54.90.159.174,8087
16.79.112.218,43933
103.30.30.5,10521
34.216.224.9,26671
165.225.72.151,11286
45.174.94.26,999
157.10.97.129,1111
200.188.112.140,999
164.68.110.241,9164
144.125.164.222,8080
89.104.71.36,8080
34.216.224.9,38337
13.212.14.16,442
3.249.110.142,25610
44.251.173.250,2068
15.236.38.248,9062
103.85.159.150,19201
15.168.235.57,20799
102.210.245.25,8080
43.208.240.77,35710
43.208.129.50,38104
144.125.164.158,8080
103.157.79.230,8080
45.225.204.8,999
43.198.99.209,8675
45.225.207.182,999
78.12.220.164,32090
13.60.209.160,90
3.110.127.255,464
103.167.170.204,8080
67.43.236.22,11271
89.104.71.36,1080
13.244.135.47,44499
3.35.25.117,54
200.59.191.235,999
51.20.126.89,29261
200.59.186.178,999
200.29.232.230,8080
45.177.178.23,999
157.175.43.137,42402
78.12.230.52,33118
93.113.63.73,33100
54.74.104.194,166
38.156.14.34,999
52.47.164.226,44902
49.0.37.210,8080
43.209.8.12,570
43.208.16.199,8141
38.41.12.88,999
43.198.185.30,13082
165.225.72.151,11320
112.204.248.185,8080
16.79.112.218,9005
164.138.205.71,8080
78.12.143.148,19805
78.12.223.246,48388
177.234.217.43,999
43.204.25.18,46820
40.177.211.224,509
43.208.16.199,46022
177.234.217.84,999
56.124.106.170,953
165.225.72.38,10811
103.231.45.182,8080
