dest_ip,metadata_comment
103.24.216.0/22,AS932 IPv4
43.254.164.0/22,AS932 IPv4
206.237.4.0/24,AS932 IPv4
43.247.132.0/22,AS932 IPv4
216.23.116.0/22,AS932 IPv4
45.140.90.0/23,AS932 IPv4
91.213.200.0/24,AS932 IPv4
45.132.238.0/23,AS932 IPv4
102.134.54.0/24,AS932 IPv4
103.231.56.0/22,AS932 IPv4
43.247.134.0/24,AS932 IPv4
38.207.132.0/22,AS932 IPv4
102.134.52.0/24,AS932 IPv4
38.147.185.0/24,AS932 IPv4
103.244.88.0/22,AS932 IPv4
102.134.55.0/24,AS932 IPv4
2401:2660:1000::/36,AS932 IPv6
43.255.158.0/24,AS932 IPv4
38.207.160.0/19,AS932 IPv4
2a06:5040::/48,AS932 IPv6
43.248.8.0/22,AS932 IPv4
155.103.156.0/22,AS932 IPv4
103.240.196.0/22,AS932 IPv4
102.134.53.0/24,AS932 IPv4
103.30.78.0/23,AS932 IPv4
103.171.34.0/23,AS932 IPv4
206.237.2.0/24,AS932 IPv4
206.237.0.0/19,AS932 IPv4
43.255.156.0/22,AS932 IPv4
102.134.52.0/22,AS932 IPv4
43.247.135.0/24,AS932 IPv4
206.237.1.0/24,AS932 IPv4
43.255.157.0/24,AS932 IPv4
45.134.82.0/23,AS932 IPv4
116.206.176.0/22,AS932 IPv4
149.104.0.0/19,AS932 IPv4
103.214.172.0/23,AS932 IPv4
206.237.5.0/24,AS932 IPv4
206.237.7.0/24,AS932 IPv4
88.218.194.0/23,AS932 IPv4
45.138.80.0/22,AS932 IPv4
45.86.140.0/22,AS932 IPv4
38.55.96.0/19,AS932 IPv4
206.237.6.0/24,AS932 IPv4
38.147.160.0/19,AS932 IPv4
212.189.106.0/23,AS932 IPv4
103.214.174.0/23,AS932 IPv4
103.30.76.0/24,AS932 IPv4
43.255.156.0/24,AS932 IPv4
91.217.135.0/24,AS932 IPv4
103.30.76.0/23,AS932 IPv4
103.145.60.0/23,AS932 IPv4
185.106.176.0/22,AS932 IPv4
103.39.76.0/22,AS932 IPv4
38.147.160.0/20,AS932 IPv4
38.147.184.0/24,AS932 IPv4
103.30.77.0/24,AS932 IPv4
206.237.13.0/24,AS932 IPv4
45.133.228.0/22,AS932 IPv4
103.30.76.0/22,AS932 IPv4
206.237.12.0/24,AS932 IPv4
103.158.190.0/23,AS932 IPv4
182.255.44.0/22,AS932 IPv4
45.137.10.0/23,AS932 IPv4
38.147.187.0/24,AS932 IPv4
206.237.10.0/24,AS932 IPv4
206.237.3.0/24,AS932 IPv4
43.255.120.0/22,AS932 IPv4
45.158.228.0/22,AS932 IPv4
206.237.0.0/24,AS932 IPv4
38.147.176.0/20,AS932 IPv4
45.147.24.0/22,AS932 IPv4
103.30.78.0/24,AS932 IPv4
45.133.238.0/23,AS932 IPv4
38.147.186.0/24,AS932 IPv4
45.135.118.0/23,AS932 IPv4
91.208.73.0/24,AS932 IPv4
45.128.146.0/23,AS932 IPv4
38.47.96.0/19,AS932 IPv4
